codes,CHG,smiles,pot
CHEMBL1463618,0,CC1(C)Cc2noc(N)c2C(C)(C)N1O,-3.03348152161678
CHEMBL1465705,0,Cc1ccc2nc3ccc([N+](=O)[O-])cn3c2c1,-0.474531715507921
CHEMBL1466740,0,C=CCCCCc1nc2ccccc2c(=O)n1N,-2.06523049273011
CHEMBL1468232,0,COCCCN(CCCN)Cc1ccco1,-3.54100992850131
CHEMBL1469699,0,Cc1nonc1NC(=O)OCCN1CCOC1=O,-2.11719634992884
CHEMBL1469705,0,CCCCn1c2c(c3ccccc31)CCc1nonc1-2,-1.86913547642533
CHEMBL1469745,0,COc1cccc(Nc2ncccc2C(=O)O)c1,-1.81776739936044
CHEMBL147233,0,CCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,-1.40994007468887
CHEMBL1478798,0,O=C(c1ccccc1)N1CCC(=O)N1c1ccccc1,-1.76622180796314
CHEMBL1481631,0,Nc1ncc(S(=O)(=O)NCc2ccccc2)cn1,-2.05276487178637
CHEMBL1482264,0,C=CCN=C(S)Nc1ccc(C(N)=O)cc1,-2.08074859949136
CHEMBL1483176,0,CC(=O)OC(C(=O)NC1CCCCC1)c1ccccc1F,-2.97114782098933
CHEMBL1484551,0,Clc1nc(NCc2ccco2)nc(N2CCCCC2)n1,-2.6689670785102
CHEMBL1485433,0,CSc1ccc(CN(C)CCc2ccccn2)cc1,-2.90843844818485
CHEMBL1485603,0,Cc1onc(-c2ccccc2)c1C(=O)NCc1ccco1,-2.29298244010302
CHEMBL1485940,0,Cc1ccc2nc(O)cc(C(=O)OC(C)C)c2c1,-1.20324253886553
CHEMBL1487178,0,CCCCc1nc(NCCO)c(C#N)c2c1CCCC2,-2.04215190415693
CHEMBL1488272,0,CCCCOCP(=O)(CCCC)COCCCC,-3.51353601231417
